regno,name,dept,hist_arrear,cgpa
100075,Kevin Duran,ECE,No,5.64
100076,Gregory Long,MECH,No,8.71
100077,Mandy Walker,EEE,Yes,5.23
100078,John Page,MECH,No,8.02
100079,Renee Larson,EEE,No,8.09
100080,Olivia Logan,CSE,Yes,6.79
100081,Megan Berry,EEE,No,7.26
100082,Brandon Weber,ECE,Yes,9.06
100083,Sara Schroeder,EEE,No,9.32
100084,Kimberly Walker,ECE,Yes,9.59
100085,Savannah Davis,CIVIL,No,5.63
100086,Paige Stewart,CSE,Yes,7.4
100087,Anna Page,ECE,Yes,6.18
100088,Mrs. Rhonda Sanders,EEE,Yes,6.59
100089,Lisa Dunn,MECH,Yes,5.35
100090,Joseph Chambers,FT,Yes,9.7
100091,Amber Hood,CIVIL,No,7.94
100092,Christina Floyd,MECH,Yes,6.17
100093,Alicia Miller,MECH,Yes,5.53
100094,Susan Scott,CSE,Yes,5.31
100095,Matthew Gordon,EEE,No,6.67
100096,Katherine Kennedy,EEE,No,9.77
100097,Sara Stewart,FT,No,9.01
100098,Daniel Kelley,CIVIL,Yes,8.66
100099,Dawn Nelson,FT,Yes,5.89
100100,Mark Lowery,AD,No,7.37
100101,John Morgan,ECE,No,8.09
100102,Miss Kimberly Jordan DDS,CSE,No,6.66
100103,Rebecca Torres,FT,Yes,9.03
100104,Patrick Blankenship,EEE,No,6.45
100105,Rodney Shaw,ECE,No,8.03
100106,Jamie Daniels,CIVIL,No,9.3
100107,Charles Graves,FT,No,5.47
100108,Christopher Nichols,CIVIL,No,9.38
100109,Steven Brewer,MECH,No,9.94
100110,Jeffrey Robinson,AD,No,7.07
100111,Katrina Joseph,CSE,Yes,8.3
100112,Danielle Taylor,ECE,No,7.07
100113,Deanna Meza,ECE,No,7.22
100114,Stefanie Lowe,CSE,Yes,8.14
100115,Samantha Diaz,EEE,No,9.84
100116,Marie Donovan,CSE,Yes,6.14
100117,Jade Butler,AD,No,5.53
100118,Calvin Collins,CSE,Yes,7.29
100119,Wesley Vega,FT,Yes,6.21
100120,Allison Horn,EEE,Yes,7.22
100121,Jonathan Bates,ECE,No,7.92
100122,Teresa Patterson,CSE,Yes,5.78
100123,William Morrison,ECE,No,9.15
100124,Jaclyn King,ECE,No,8.81
100125,Maria Vance,MECH,No,6.5
100126,Jeremy Frank,EEE,Yes,9.95
100127,Norma Evans,FT,No,5.47
100128,Tamara Jones,CSE,Yes,6.41
100129,Elizabeth Rodriguez,FT,Yes,6.22
100130,Jessica Rose,AD,Yes,5.32
100131,Kyle English,AD,Yes,9.3
100132,Michele Rodriguez,MECH,Yes,5.62
100133,Tiffany Taylor,CSE,No,5.55
100134,Paula Hardy,CIVIL,Yes,5.73
100135,Bobby Williams,EEE,Yes,8.61
100136,Gloria Rojas,CIVIL,Yes,9.96
100137,Bruce Reid,CIVIL,Yes,8.9
100138,Michelle Montgomery,FT,No,5.97
100139,David Smith,EEE,No,8.61
100140,Amanda Perkins,CIVIL,No,5.57
100141,Steve Tanner,CIVIL,No,5.69
100142,Heather Williams,MECH,No,6.01
100143,William Barnes,EEE,Yes,9.37
100144,James Beck,AD,No,5.62
100145,Colleen Freeman,AD,Yes,7.31
100146,Michael Richardson,CSE,Yes,5.94
100147,Stephanie Pruitt,CSE,Yes,8.99
100148,Katie Vaughn,ECE,Yes,6.55
100149,Rodney Russell,MECH,No,9.21
100150,Julie Perez,CIVIL,Yes,8.98
100151,Latoya Robinson,ECE,Yes,9.08
100152,Brian Horn,CIVIL,No,9.08
100153,Janet Frey,CIVIL,Yes,7.32
100154,Adrienne Dixon,AD,Yes,8.6
100155,William Williams,ECE,No,8.65
100156,Mitchell Fox,EEE,No,5.35
100157,Jasmine Barron,EEE,Yes,6.99
100158,Angela Barnes,EEE,Yes,8.01
100159,Christopher Flynn,AD,No,7.1
100160,Jose Watson,FT,No,8.95
100161,Audrey Atkins,MECH,Yes,7.88
100162,Natalie Brown,CSE,Yes,5.64
100163,Mr. Caleb Brown,CSE,Yes,7.23
100164,Angela Walter,FT,No,9.08
100165,Jordan Obrien,AD,Yes,8.13
100166,Jennifer Gonzalez,AD,No,8.36
100167,Lonnie Swanson,ECE,No,7.31
100168,Rachel Garrett,ECE,Yes,8.99
100169,Angel Bauer,MECH,No,8.67
100170,Shawn Washington,FT,No,6.05
100171,Lori Johnson,EEE,No,9.96
100172,Anthony Valdez,CSE,No,7.61
100173,Kathleen Mcdowell,ECE,Yes,6.46
100174,Timothy Spears,FT,Yes,9.55
100175,Jennifer Contreras,ECE,Yes,8.55
100176,Christy Diaz,EEE,No,6.69
100177,Dawn Taylor,MECH,No,9.42
100178,Robert Phillips,ECE,No,9.89
100179,Troy Lee,AD,Yes,8.1
100180,Daniel Stone,AD,Yes,5.69
100181,Patricia Lloyd,CSE,No,8.17
100182,Amy Bowen,AD,No,5.07
100183,Elizabeth Irwin,AD,Yes,5.62
100184,Lori Williams,CIVIL,Yes,7.25
100185,Melissa Farrell,CIVIL,Yes,9.24
100186,David Cole,EEE,No,6.66
100187,Kimberly Andrews,MECH,No,7.62
100188,Emily Williams,EEE,Yes,6.0
100189,Mr. Christopher Reeves,MECH,No,7.25
100190,Taylor Alvarado,FT,Yes,6.55
100191,Javier Tran,CIVIL,No,7.52
100192,Daniel Wilson,CIVIL,No,9.92
100193,Latoya Smith,CSE,Yes,8.28
100194,Matthew Mora,CSE,No,7.23
100195,Holly Smith,AD,Yes,8.2
100196,Debra Saunders,ECE,Yes,5.72
100197,Joanne Lopez,ECE,Yes,6.1
100198,Jessica Adams,EEE,Yes,9.23
100199,Wendy Landry,CSE,No,8.06
100200,Craig Larson,CSE,No,6.22
100201,Anthony Harvey,EEE,Yes,8.02
100202,John Clark,FT,No,8.03
100203,Samuel Ross,EEE,Yes,5.43
100204,Joshua Lynch,ECE,No,5.69
100205,Connie Newman,CSE,Yes,6.89
100206,Bruce Sullivan,CIVIL,No,8.52
100207,Colleen Smith,MECH,Yes,6.33
100208,Christopher Rodriguez,FT,Yes,7.39
100209,Briana Cannon,CSE,No,6.23
100210,John Rodgers,AD,No,9.8
100211,Laura Jones,MECH,Yes,7.34
100212,James Taylor,EEE,No,9.27
100213,Joseph Gill,ECE,No,6.15
100214,Sarah Buchanan,MECH,No,9.24
100215,Joseph Larson,CSE,Yes,8.28
100216,Erin Little,CSE,No,9.14
100217,Jennifer Grimes,EEE,No,8.37
100218,Matthew Morgan,FT,Yes,6.97
100219,Melissa Morrison,MECH,No,7.67
100220,Patrick King,CIVIL,No,9.14
100221,Zachary Garza,FT,Yes,7.13
100222,Raymond Phillips,FT,No,5.43
100223,Monica May,FT,No,7.75
100224,Harry Hanson,CSE,Yes,5.6
100225,Amy Huber,AD,Yes,5.69
100226,Kendra Christian,CIVIL,No,7.44
100227,Jennifer Mcknight,AD,Yes,8.63
100228,James Kennedy,AD,Yes,9.36
100229,Andre Miller,FT,Yes,7.68
100230,Mr. Joshua Hernandez,CSE,No,8.65
100231,Ashley Martinez,MECH,Yes,7.22
100232,Eric Silva,ECE,Yes,7.04
100233,Melanie Wall,CSE,Yes,7.25
100234,Jennifer Dunlap,FT,No,8.24
100235,Alejandra Woodard,MECH,No,5.86
100236,Samantha Freeman,CIVIL,No,6.0
100237,Mark Edwards,CIVIL,Yes,6.52
100238,Maria Thomas,EEE,Yes,9.78
100239,Lauren Robinson,CSE,Yes,9.07
100240,Heather Baker,EEE,Yes,5.25
100241,David Lowery,CSE,No,7.87
100242,Leslie Myers,MECH,No,8.75
100243,Whitney Rivera,CSE,Yes,6.59
100244,Matthew Kennedy,EEE,No,6.2
100245,Christopher Gonzalez,AD,Yes,8.82
100246,Brian Smith,MECH,No,5.71
100247,Morgan Hunter,ECE,Yes,6.21
100248,Gregory Ray,ECE,Yes,7.61
100249,Scott Beasley,AD,Yes,6.14
100250,Jennifer Petty,ECE,No,9.58
100251,John Padilla,FT,Yes,5.39
100252,Theresa Gilbert,CSE,Yes,7.81
100253,Nathaniel Davis,EEE,No,5.74
100254,Michael Hubbard,EEE,No,7.43
100255,Sean Morrow,FT,No,8.97
100256,Derrick Coleman,CIVIL,Yes,8.0
100257,Douglas Goodwin,EEE,No,9.27
100258,Nancy Gonzalez,CIVIL,No,9.14
100259,Tina Odom,CIVIL,Yes,6.75
100260,Anna Taylor,MECH,No,9.56
100261,Daniel Smith,CIVIL,No,5.24
100262,Zachary Mcdonald,AD,Yes,5.06
100263,Robert Rivera,AD,No,7.99
100264,Todd Castro,ECE,No,5.63
100265,Peter Lopez,CIVIL,No,6.8
100266,Matthew Mckay,CIVIL,No,8.52
100267,Jeffrey Hunt,FT,Yes,5.13
100268,Eric Friedman,FT,No,7.72
100269,Rebecca Johnson,EEE,No,6.35
100270,Justin Bennett,AD,No,9.9
100271,Denise Jones,CIVIL,No,6.8
100272,William Robertson,MECH,No,7.64
100273,Jonathan Collins,AD,No,6.37
100274,Michael Quinn,AD,No,8.42
100275,Lance Greene,FT,No,5.99
100276,Carlos Lane,AD,No,6.44
100277,Pamela Singh,CSE,Yes,5.22
100278,Brandon Davis,ECE,No,8.68
100279,Corey Moore,CSE,No,9.26
100280,Laura Ward,ECE,No,5.74
100281,Paul Phillips,EEE,No,6.5
100282,Linda Lopez,CSE,No,5.51
100283,Kimberly Ward,ECE,Yes,9.07
100284,Arthur Baker,CIVIL,Yes,8.36
100285,Bryan Nguyen,ECE,No,9.64
100286,Elizabeth Martinez,FT,Yes,7.96
100287,Haley Hinton,FT,No,6.11
100288,Lisa Harrell,MECH,Yes,6.09
100289,John Richardson,FT,No,9.8
100290,Jason Williams,ECE,Yes,9.17
100291,Christina Hayes,CSE,Yes,9.4
100292,Juan Oliver,CIVIL,Yes,9.65
100293,Brittany Miller,ECE,Yes,6.56
100294,Matthew Mcgrath,ECE,No,5.43
100295,Carol Cain,FT,Yes,8.45
100296,Jason Thomas,EEE,Yes,6.39
100297,Jessica Schroeder,FT,No,6.12
100298,Gina Arnold,EEE,No,9.28
100299,Jordan Nelson,ECE,Yes,8.95
100300,Robert Hammond,ECE,No,6.68
100301,Misty Cervantes,CSE,Yes,8.09
100302,Brenda Robles,EEE,No,5.07
100303,Stephen Walker DVM,MECH,No,8.63
100304,Shane Kent,CIVIL,Yes,5.99
100305,Alan Ellis,FT,Yes,7.28
100306,Jason Marquez,FT,Yes,5.9
100307,Nicholas Anderson,MECH,No,5.95
100308,Robyn Mcneil,EEE,No,7.19
100309,James Johnson,AD,Yes,5.32
100310,Robyn Davenport,AD,Yes,9.01
100311,Hannah Reyes,AD,No,7.25
100312,Margaret Aguilar,ECE,No,7.51
100313,Alisha Kennedy,MECH,No,9.36
100314,Kyle Davis,CIVIL,Yes,7.31
100315,Elizabeth Rodriguez,FT,Yes,9.26
100316,Karen Carroll,CSE,No,8.59
100317,David Schmidt,CSE,No,7.19
100318,Sierra Taylor,ECE,No,9.22
100319,Eduardo Perry,FT,Yes,5.7
100320,Samantha Vasquez,EEE,Yes,8.93
100321,James Smith,CSE,No,8.45
100322,Nicholas Haley,FT,No,8.6
100323,Marcus Jones,FT,Yes,7.89
100324,Amanda Bruce,EEE,Yes,8.94
100325,Walter Rosales,FT,Yes,8.34
100326,Kimberly Taylor,ECE,No,8.06
100327,Claudia Booker,MECH,No,7.21
100328,Gregory Browning,EEE,Yes,9.96
100329,Yolanda Fernandez,CSE,No,9.79
100330,Vincent Rivera,FT,No,8.24
100331,Mary Evans MD,EEE,No,8.97
100332,Sheila Patterson,CIVIL,Yes,6.27
100333,Jackson Garcia DDS,AD,No,9.21
100334,Gabrielle Roberts,MECH,No,5.18
100335,Ashley Hodge,CIVIL,No,7.62
100336,Nicole Wu,AD,No,5.14
100337,Sharon Gallegos,AD,Yes,8.04
100338,James Gibbs,EEE,Yes,7.42
100339,Sharon Webb,ECE,No,6.99
100340,Melissa Ortiz,CIVIL,No,9.36
100341,David Peterson,AD,No,7.16
100342,Jennifer Merritt,FT,Yes,6.99
100343,Mark Jensen,EEE,No,5.42
100344,Steve Edwards,FT,Yes,7.37
100345,Jason Allen,CSE,Yes,8.48
100346,Erin Bennett,FT,No,9.55
100347,Lacey Riley,CSE,No,8.17
100348,Marcus Rice,AD,Yes,7.54
100349,Mark Martinez,CIVIL,Yes,9.99
100350,Clarence Martinez,ECE,Yes,9.15
100351,Jason Castillo,CSE,Yes,9.62
100352,Carolyn Guzman,AD,Yes,7.0
100353,Jesus Robinson,ECE,Yes,7.48
100354,Heather Ellison,MECH,Yes,6.04
100355,Deborah Farley,MECH,Yes,7.78
100356,Raymond Diaz,CIVIL,No,9.52
100357,Colleen Middleton,AD,No,9.88
100358,Vanessa Reynolds,ECE,No,5.51
100359,Sarah King,AD,Yes,8.34
100360,Rebecca Walsh,ECE,Yes,8.97
100361,Jennifer Patton,EEE,Yes,5.57
100362,Kevin Lee,AD,No,5.61
100363,Deborah Thomas,ECE,Yes,8.0
100364,Linda Jones,ECE,Yes,9.58
100365,Amy Delgado,FT,No,6.63
100366,Steven Moore,MECH,Yes,6.8
100367,Linda Lindsey,ECE,Yes,6.68
100368,Tammy Melendez,CIVIL,No,7.05
100369,Tammy Martinez,CSE,Yes,8.49
100370,Anthony Henry DVM,CSE,Yes,7.85
100371,Christopher Reyes,EEE,Yes,9.5
100372,Kevin Banks,FT,No,9.34
100373,Robert Compton,CIVIL,Yes,5.57
100374,Kenneth Barnes,ECE,Yes,5.59
100375,Elizabeth Hayden,ECE,No,7.59
100376,Tonya Acosta,CSE,Yes,9.36
100377,Jordan James,CSE,Yes,6.54
100378,Rebecca Moore,EEE,Yes,7.41
100379,Philip Jordan,CIVIL,Yes,8.67
100380,Erin Zimmerman,EEE,No,9.25
100381,Kenneth Hubbard,CIVIL,No,8.69
100382,Kevin Wilson,FT,Yes,6.12
100383,Edwin Jones,CIVIL,Yes,7.85
100384,Craig Murphy,FT,Yes,9.47
100385,Chad Gibson,ECE,No,6.86
100386,Christine Thornton,EEE,Yes,5.96
100387,Melissa Zhang,FT,No,8.05
100388,Michael Knapp,AD,No,9.69
100389,Thomas Serrano,FT,Yes,7.03
100390,Donna Smith,FT,Yes,9.92
100391,Karen Simmons,CIVIL,Yes,9.36
100392,Brian Bates,CIVIL,Yes,5.72
100393,Penny Lopez,EEE,Yes,6.1
100394,Kathryn Hudson,ECE,Yes,8.17
100395,Anthony Rowe,CSE,Yes,6.76
100396,Margaret Williams,CIVIL,Yes,7.34
100397,Ashley Mendez,ECE,Yes,8.62
100398,Keith Rivera,ECE,No,8.48
100399,Scott Hurst,CSE,Yes,8.48
100400,Danielle Novak DDS,EEE,Yes,6.48
100401,Diana Morgan,MECH,Yes,7.4
100402,Andrew Morgan,EEE,No,6.61
100403,Mrs. Lauren Mcclain MD,CIVIL,No,8.67
100404,William Warren,MECH,Yes,8.96
100405,Michelle Jones,MECH,Yes,8.13
100406,Nicholas Davis,CSE,No,6.18
100407,Roy James,FT,Yes,9.21
100408,Colin Peterson,ECE,Yes,5.06
100409,Kimberly Huff,FT,Yes,5.06
100410,Jennifer Henderson,CSE,No,8.62
100411,Mrs. Sara Miller,ECE,Yes,6.74
100412,Justin Becker,EEE,Yes,7.17
100413,Rebecca Ryan,ECE,No,5.48
100414,Donald Martinez,FT,No,8.03
100415,Michael Thompson,AD,No,9.99
100416,Sara Tran,EEE,No,9.15
100417,Susan Wood PhD,EEE,Yes,9.66
100418,Kenneth Sims,EEE,Yes,6.51
100419,Kurt Medina,AD,Yes,6.32
100420,Rebecca Brown,CIVIL,Yes,9.63
100421,Martin Clark,EEE,Yes,8.53
100422,Stephanie Wagner,EEE,No,9.01
100423,Madeline Mckee,AD,Yes,9.26
100424,Elizabeth Hendricks,FT,No,8.62
100425,Jesus Robinson,MECH,No,8.09
100426,Amy Flores,FT,Yes,9.94
100427,Christopher Acosta,MECH,Yes,7.34
100428,Jaime Armstrong,AD,No,9.48
100429,James Morales,AD,Yes,7.98
100430,Clayton Ryan,MECH,No,9.53
100431,Patricia Petty,EEE,Yes,9.99
100432,Mr. Jared Bennett MD,ECE,No,9.31
100433,Hannah Perez,MECH,Yes,7.11
100434,Danielle Thomas,FT,Yes,6.11
100435,Emily Lee,CIVIL,Yes,8.46
100436,Lori Smith,AD,No,9.49
100437,Walter Sandoval,FT,Yes,6.22
100438,Susan Fuentes,AD,No,8.77
100439,Katherine Austin,MECH,Yes,6.8
100440,Michael Carroll,AD,No,7.41
100441,Brooke Lewis,FT,Yes,9.2
100442,Kyle Williams,AD,No,9.83
100443,Tyler Mcgrath,AD,No,7.59
100444,Charles Robinson,AD,No,7.23
100445,Jonathan Green,CIVIL,No,5.85
100446,Bob Garza,CIVIL,No,8.83
100447,Michael Rogers,CIVIL,No,8.55
100448,Rebecca Smith,EEE,Yes,9.58
100449,Linda Gentry,CIVIL,No,7.6
100450,Laura Stewart,AD,No,5.9
100451,Shelly Peters,FT,Yes,9.98
100452,Michael Whitaker,ECE,No,6.08
100453,Thomas Taylor,EEE,Yes,7.47
100454,Colleen Franklin,CSE,Yes,7.73
100455,Andrew Reynolds,CIVIL,No,8.83
100456,Michael Garrett,FT,Yes,7.46
100457,Ruth Davis,FT,No,7.72
100458,Scott Smith,MECH,No,7.77
100459,Jesus Smith,AD,Yes,8.89
100460,Jessica Macias,CIVIL,Yes,8.38
100461,Diana Roth,MECH,Yes,7.24
100462,Heidi Weber,ECE,No,5.47
100463,Amanda Hayes,EEE,Yes,6.98
100464,Richard Curry,CSE,No,6.85
100465,Antonio Brown,EEE,No,7.78
100466,Adam Romero,MECH,Yes,6.93
100467,Phillip Bennett,FT,No,6.77
100468,Joseph Mooney,MECH,No,8.85
100469,Wyatt Williams,ECE,Yes,8.14
100470,Alex George,MECH,No,7.64
100471,Steven Yang,FT,Yes,9.86
100472,Eric Larsen,EEE,Yes,5.14
100473,Reginald Taylor,EEE,No,6.99
100474,Dennis Johnson,FT,Yes,5.67
100475,Tammy Simmons,AD,Yes,6.98
100476,Charles Thomas,FT,No,7.59
100477,Ryan Berry,FT,Yes,5.11
100478,Seth Jones,FT,No,8.91
100479,Darrell Miller,ECE,No,5.37
100480,Adam Elliott,CSE,Yes,8.91
100481,Lindsay Goodman,CSE,Yes,6.24
100482,Matthew Mclaughlin,MECH,No,8.13
100483,Erik Jackson MD,ECE,No,9.26
100484,Amber Nichols,AD,No,9.06
100485,Donna Martinez,CIVIL,Yes,6.88
100486,Nathan Moore,FT,No,5.19
100487,Jason Martinez,MECH,Yes,9.2
100488,Brian Wolfe,CIVIL,No,7.93
100489,Michael Potter,CIVIL,Yes,5.94
100490,Natasha Reilly,EEE,No,5.71
100491,Juan Lee,MECH,Yes,7.22
100492,John Murray,ECE,Yes,7.77
100493,Sarah Kemp DVM,CIVIL,Yes,9.81
100494,Jeffrey Young,CSE,No,9.94
100495,John Jackson DDS,MECH,Yes,6.49
100496,David Smith,CIVIL,No,9.26
100497,Nancy Fowler,ECE,No,8.77
100498,Jamie Wilson,EEE,No,8.28
100499,Raymond Hunter,MECH,Yes,8.56
100500,Richard Cummings,MECH,Yes,7.79
100501,Deborah Patterson,FT,Yes,5.76
100502,Juan Martin,CSE,Yes,9.82
100503,Jeanette Lewis,CIVIL,Yes,9.56
100504,William Smith,CSE,Yes,5.5
100505,Matthew Potter,MECH,No,6.37
100506,Sierra Lewis,FT,Yes,9.06
100507,Jason Griffin,ECE,No,7.65
100508,Brad Coleman,ECE,No,6.45
100509,Jennifer Hall,CSE,Yes,9.65
100510,Brianna Tran,FT,Yes,8.15
100511,Brian Brooks,CSE,Yes,8.73
100512,Shelly King,CIVIL,Yes,7.43
100513,Carrie Smith,AD,Yes,7.55
100514,Andrew Coleman,FT,No,9.81
100515,Ann Reilly,MECH,Yes,9.06
100516,James Mitchell,EEE,Yes,9.23
100517,Megan Cantrell,MECH,No,7.4
100518,Melissa Guzman,AD,Yes,8.21
100519,Jerry Romero,CIVIL,No,6.03
100520,Brian Gonzalez,EEE,Yes,5.43
100521,Brian Vance,ECE,Yes,6.63
100522,Patrick Lopez,MECH,No,5.63
100523,Jason Casey,FT,Yes,8.02
100524,Kimberly Flores,EEE,Yes,7.6
100525,Joann Booker,AD,Yes,5.28
100526,Clinton Boyd,EEE,No,7.53
100527,Brian Graham,FT,Yes,7.72
100528,Jenna Hall,CSE,No,5.85
100529,Sandra Bennett,FT,No,6.19
100530,Nicholas Perkins,MECH,No,9.82
100531,Richard Holmes,MECH,No,8.61
100532,Lindsey Young,CSE,No,6.79
100533,Clayton Lucas,FT,Yes,5.03
100534,Dr. Laurie Coleman,ECE,Yes,8.91
100535,Lori House,ECE,Yes,5.49
100536,Andrew Butler,EEE,Yes,5.04
100537,Kenneth Gilmore,CSE,Yes,6.66
100538,Jason Bryan,ECE,No,9.96
100539,Renee Adams,EEE,Yes,7.9
100540,Jasmine Schwartz,CIVIL,Yes,8.19
100541,Amanda Smith,FT,No,7.94
100542,Brian Barnett,CSE,Yes,8.7
100543,Lacey Wright,ECE,Yes,9.99
100544,Sarah Cook DDS,EEE,No,7.21
100545,Dennis Hall,CSE,No,8.48
100546,Brenda Rivas,CSE,No,6.91
100547,Morgan Alvarez,CSE,Yes,7.78
100548,Kyle Griffin,EEE,Yes,8.84
100549,Bobby Martinez,EEE,Yes,7.95
100550,Jon Wallace,AD,Yes,6.49
100551,Michael Lutz,CIVIL,No,9.31
100552,Roy Soto,CSE,No,8.75
100553,Francisco Smith,CSE,No,5.75
100554,Anna Ball,FT,No,8.17
100555,Scott Hall,FT,Yes,8.6
100556,Glenda Williamson,CIVIL,No,7.29
100557,Cassandra Evans,FT,No,8.57
100558,William Ross,EEE,Yes,8.56
100559,Jonathan Diaz,AD,Yes,9.68
100560,Ronald Arnold,CSE,Yes,6.55
100561,April Miller,AD,No,6.72
100562,Kevin Rodriguez,MECH,No,7.94
100563,Nicholas Fernandez,ECE,Yes,5.06
100564,Katherine Williams,EEE,No,7.65
100565,Helen Thornton,MECH,Yes,5.6
100566,Christopher Peters,MECH,No,5.15
100567,Aaron Brown,EEE,No,5.09
100568,Christina Hughes,CIVIL,Yes,6.72
100569,Charles Stewart,ECE,Yes,8.18
100570,Amy Johnson,ECE,Yes,7.48
100571,Jesse Carter,AD,Yes,9.39
100572,Bryan Briggs,CSE,No,5.35
100573,Nancy Miller,FT,No,5.7
100574,Brandon Williams,EEE,Yes,7.64
100575,Jacqueline White,CIVIL,Yes,8.15
100576,Alex Duke,CSE,No,7.84
100577,Troy Torres,EEE,No,6.36
100578,Mr. Danny Andrews,EEE,Yes,9.92
100579,Ellen Villa,CSE,No,6.35
100580,Lynn Frank,CSE,Yes,8.1
100581,Taylor Mason,CSE,No,7.66
100582,Jason Garcia,EEE,Yes,9.41
100583,Patricia Jackson,MECH,No,8.93
100584,Sarah Kelly,FT,Yes,6.14
100585,Dr. Aaron Wells MD,ECE,No,5.24
100586,Brittany Williams,CIVIL,No,7.05
100587,Alan Marshall,CIVIL,No,9.9
100588,Morgan Williams,EEE,No,6.26
100589,Justin Jones,MECH,No,6.78
100590,Amy Bond,ECE,Yes,6.9
100591,Christina Ross,EEE,No,9.16
100592,Tara Lester,EEE,Yes,5.99
100593,Kirk Bishop,EEE,No,8.59
100594,Alexander Taylor,EEE,Yes,6.69
100595,James Phillips,CIVIL,No,5.68
100596,Rebecca Bentley,ECE,No,8.54
100597,Riley Edwards,EEE,Yes,5.05
100598,Lauren Sullivan,EEE,Yes,9.39
100599,Daniel Norris,CSE,Yes,8.85
100600,Bridget Rosales,CSE,Yes,6.7
100601,Derek Dominguez II,CIVIL,Yes,7.9
100602,Keith Smith,CIVIL,No,7.83
100603,David Munoz,FT,Yes,9.54
100604,Regina Moyer,CIVIL,No,7.75
100605,Vincent Cox,CIVIL,Yes,9.54
100606,Robert Mayo MD,MECH,Yes,6.42
100607,Dr. Erin Blanchard,EEE,Yes,8.21
100608,Christopher Elliott,EEE,Yes,7.26
100609,Samantha Hill,ECE,No,9.96
100610,Heather Todd,ECE,Yes,6.46
100611,April Combs,MECH,No,8.12
100612,Amy Davis,EEE,Yes,7.64
100613,Brian Elliott,FT,No,9.46
100614,Rachel Ayala,ECE,Yes,9.82
100615,James Schultz,EEE,No,8.42
100616,Karen Wang DDS,MECH,Yes,8.48
100617,Amy Smith,FT,No,5.41
100618,Colleen Ferguson,ECE,No,7.97
100619,Courtney Aguilar,FT,Yes,8.43
100620,Morgan Robinson,MECH,Yes,6.56
