regno,name,dept,hist_arrear,cgpa,dept_encoded,hist_arrear_encoded,placement_eligible,risk_group
100036,Joseph Greene,MECH,No,5.08,6,0,False,High
100037,Carl Kirby,CSE,No,5.1,2,0,False,High
100038,Jacob Ford,FT,No,8.04,5,0,True,Low
100039,David Wolfe,CIVIL,No,7.61,1,0,True,Low
100040,Samantha Thomas,ECE,Yes,8.56,3,1,False,Low
100041,Laura Clay,CIVIL,Yes,8.56,1,1,False,Low
100042,Justin Combs,ECE,Yes,5.62,3,1,False,High
100043,Lisa Francis,EEE,Yes,5.42,4,1,False,High
100044,Julie Soto,EEE,Yes,6.51,4,1,False,Low
100045,John Schneider,EEE,No,8.95,4,0,True,Low
100046,Brandy Short,MECH,Yes,5.72,6,1,False,High
100047,Angela Simmons,FT,No,8.43,5,0,True,Low
100048,Alison Phillips,CSE,No,5.23,2,0,False,High
100049,Cheryl Salas,ECE,Yes,5.5,3,1,False,High
100050,Bailey Wright,FT,No,9.83,5,0,True,Low
100051,Scott Smith,EEE,No,8.25,4,0,True,Low
100052,Craig Crawford,CIVIL,Yes,9.84,1,1,False,Low
100053,Melissa Powers,EEE,No,7.43,4,0,False,Low
100054,Michael Hamilton,FT,No,7.23,5,0,False,Low
100055,Joanna Compton,MECH,No,9.74,6,0,True,Low
100056,Steven Bell,AD,Yes,8.77,0,1,False,Low
100057,Donald Bolton,AD,Yes,6.66,0,1,False,Low
100058,Shannon Wright,ECE,No,6.28,3,0,False,Low
100059,Fred Harvey Jr.,AD,No,9.62,0,0,True,Low
100060,Joshua Aguirre,AD,Yes,5.12,0,1,False,High
100061,James Cantrell,MECH,No,6.23,6,0,False,Low
100062,Samuel Torres,AD,Yes,7.55,0,1,False,Low
100063,Andrew Church,EEE,Yes,5.04,4,1,False,High
100064,Aaron Brown,FT,Yes,5.64,5,1,False,High
100065,Samantha Escobar,CSE,Yes,8.81,2,1,False,Low
100066,Maria Neal,AD,No,8.57,0,0,True,Low
100067,Darryl Hopkins,ECE,Yes,8.47,3,1,False,Low
100068,Linda White,AD,No,7.86,0,0,True,Low
100069,Walter Fleming,FT,No,5.08,5,0,False,High
100070,Frederick Turner,EEE,No,9.74,4,0,True,Low
100071,Jennifer Burns,AD,No,9.37,0,0,True,Low
100072,Barbara Miller,AD,Yes,8.33,0,1,False,Low
100073,Curtis Rodgers,ECE,Yes,9.95,3,1,False,Low
100074,Mrs. Debra Huynh,FT,No,6.72,5,0,False,Low
100075,Kevin Duran,ECE,No,5.64,3,0,False,High
100076,Gregory Long,MECH,No,8.71,6,0,True,Low
100077,Mandy Walker,EEE,Yes,5.23,4,1,False,High
100078,John Page,MECH,No,8.02,6,0,True,Low
100079,Renee Larson,EEE,No,8.09,4,0,True,Low
100080,Olivia Logan,CSE,Yes,6.79,2,1,False,Low
100081,Megan Berry,EEE,No,7.26,4,0,False,Low
100082,Brandon Weber,ECE,Yes,9.06,3,1,False,Low
100083,Sara Schroeder,EEE,No,9.32,4,0,True,Low
100084,Kimberly Walker,ECE,Yes,9.59,3,1,False,Low
100085,Savannah Davis,CIVIL,No,5.63,1,0,False,High
100086,Paige Stewart,CSE,Yes,7.4,2,1,False,Low
100087,Anna Page,ECE,Yes,6.18,3,1,False,Low
100088,Mrs. Rhonda Sanders,EEE,Yes,6.59,4,1,False,Low
100089,Lisa Dunn,MECH,Yes,5.35,6,1,False,High
100090,Joseph Chambers,FT,Yes,9.7,5,1,False,Low
100091,Amber Hood,CIVIL,No,7.94,1,0,True,Low
100092,Christina Floyd,MECH,Yes,6.17,6,1,False,Low
100093,Alicia Miller,MECH,Yes,5.53,6,1,False,High
100094,Susan Scott,CSE,Yes,5.31,2,1,False,High
100095,Matthew Gordon,EEE,No,6.67,4,0,False,Low
100096,Katherine Kennedy,EEE,No,9.77,4,0,True,Low
100097,Sara Stewart,FT,No,9.01,5,0,True,Low
100098,Daniel Kelley,CIVIL,Yes,8.66,1,1,False,Low
100099,Dawn Nelson,FT,Yes,5.89,5,1,False,High
100100,Mark Lowery,AD,No,7.37,0,0,False,Low
100101,John Morgan,ECE,No,8.09,3,0,True,Low
100102,Miss Kimberly Jordan DDS,CSE,No,6.66,2,0,False,Low
100103,Rebecca Torres,FT,Yes,9.03,5,1,False,Low
100104,Patrick Blankenship,EEE,No,6.45,4,0,False,Low
100105,Rodney Shaw,ECE,No,8.03,3,0,True,Low
100106,Jamie Daniels,CIVIL,No,9.3,1,0,True,Low
100107,Charles Graves,FT,No,5.47,5,0,False,High
100108,Christopher Nichols,CIVIL,No,9.38,1,0,True,Low
100109,Steven Brewer,MECH,No,9.94,6,0,True,Low
100110,Jeffrey Robinson,AD,No,7.07,0,0,False,Low
100111,Katrina Joseph,CSE,Yes,8.3,2,1,False,Low
100112,Danielle Taylor,ECE,No,7.07,3,0,False,Low
100113,Deanna Meza,ECE,No,7.22,3,0,False,Low
100114,Stefanie Lowe,CSE,Yes,8.14,2,1,False,Low
100115,Samantha Diaz,EEE,No,9.84,4,0,True,Low
100116,Marie Donovan,CSE,Yes,6.14,2,1,False,Low
100117,Jade Butler,AD,No,5.53,0,0,False,High
100118,Calvin Collins,CSE,Yes,7.29,2,1,False,Low
100119,Wesley Vega,FT,Yes,6.21,5,1,False,Low
100120,Allison Horn,EEE,Yes,7.22,4,1,False,Low
100121,Jonathan Bates,ECE,No,7.92,3,0,True,Low
100122,Teresa Patterson,CSE,Yes,5.78,2,1,False,High
100123,William Morrison,ECE,No,9.15,3,0,True,Low
100124,Jaclyn King,ECE,No,8.81,3,0,True,Low
100125,Maria Vance,MECH,No,6.5,6,0,False,Low
100126,Jeremy Frank,EEE,Yes,9.95,4,1,False,Low
100127,Norma Evans,FT,No,5.47,5,0,False,High
100128,Tamara Jones,CSE,Yes,6.41,2,1,False,Low
100129,Elizabeth Rodriguez,FT,Yes,6.22,5,1,False,Low
100130,Jessica Rose,AD,Yes,5.32,0,1,False,High
100131,Kyle English,AD,Yes,9.3,0,1,False,Low
100132,Michele Rodriguez,MECH,Yes,5.62,6,1,False,High
100133,Tiffany Taylor,CSE,No,5.55,2,0,False,High
100134,Paula Hardy,CIVIL,Yes,5.73,1,1,False,High
100135,Bobby Williams,EEE,Yes,8.61,4,1,False,Low
100136,Gloria Rojas,CIVIL,Yes,9.96,1,1,False,Low
100137,Bruce Reid,CIVIL,Yes,8.9,1,1,False,Low
100138,Michelle Montgomery,FT,No,5.97,5,0,False,High
100139,David Smith,EEE,No,8.61,4,0,True,Low
100140,Amanda Perkins,CIVIL,No,5.57,1,0,False,High
100141,Steve Tanner,CIVIL,No,5.69,1,0,False,High
100142,Heather Williams,MECH,No,6.01,6,0,False,Low
100143,William Barnes,EEE,Yes,9.37,4,1,False,Low
100144,James Beck,AD,No,5.62,0,0,False,High
100145,Colleen Freeman,AD,Yes,7.31,0,1,False,Low
100146,Michael Richardson,CSE,Yes,5.94,2,1,False,High
100147,Stephanie Pruitt,CSE,Yes,8.99,2,1,False,Low
100148,Katie Vaughn,ECE,Yes,6.55,3,1,False,Low
100149,Rodney Russell,MECH,No,9.21,6,0,True,Low
100150,Julie Perez,CIVIL,Yes,8.98,1,1,False,Low
100151,Latoya Robinson,ECE,Yes,9.08,3,1,False,Low
100152,Brian Horn,CIVIL,No,9.08,1,0,True,Low
100153,Janet Frey,CIVIL,Yes,7.32,1,1,False,Low
100154,Adrienne Dixon,AD,Yes,8.6,0,1,False,Low
100155,William Williams,ECE,No,8.65,3,0,True,Low
100156,Mitchell Fox,EEE,No,5.35,4,0,False,High
100157,Jasmine Barron,EEE,Yes,6.99,4,1,False,Low
100158,Angela Barnes,EEE,Yes,8.01,4,1,False,Low
100159,Christopher Flynn,AD,No,7.1,0,0,False,Low
100160,Jose Watson,FT,No,8.95,5,0,True,Low
100161,Audrey Atkins,MECH,Yes,7.88,6,1,False,Low
100162,Natalie Brown,CSE,Yes,5.64,2,1,False,High
100163,Mr. Caleb Brown,CSE,Yes,7.23,2,1,False,Low
100164,Angela Walter,FT,No,9.08,5,0,True,Low
100165,Jordan Obrien,AD,Yes,8.13,0,1,False,Low
100166,Jennifer Gonzalez,AD,No,8.36,0,0,True,Low
100167,Lonnie Swanson,ECE,No,7.31,3,0,False,Low
100168,Rachel Garrett,ECE,Yes,8.99,3,1,False,Low
100169,Angel Bauer,MECH,No,8.67,6,0,True,Low
100170,Shawn Washington,FT,No,6.05,5,0,False,Low
100171,Lori Johnson,EEE,No,9.96,4,0,True,Low
100172,Anthony Valdez,CSE,No,7.61,2,0,True,Low
100173,Kathleen Mcdowell,ECE,Yes,6.46,3,1,False,Low
100174,Timothy Spears,FT,Yes,9.55,5,1,False,Low
100175,Jennifer Contreras,ECE,Yes,8.55,3,1,False,Low
100176,Christy Diaz,EEE,No,6.69,4,0,False,Low
100177,Dawn Taylor,MECH,No,9.42,6,0,True,Low
100178,Robert Phillips,ECE,No,9.89,3,0,True,Low
100179,Troy Lee,AD,Yes,8.1,0,1,False,Low
100180,Daniel Stone,AD,Yes,5.69,0,1,False,High
100181,Patricia Lloyd,CSE,No,8.17,2,0,True,Low
100182,Amy Bowen,AD,No,5.07,0,0,False,High
100183,Elizabeth Irwin,AD,Yes,5.62,0,1,False,High
100184,Lori Williams,CIVIL,Yes,7.25,1,1,False,Low
100185,Melissa Farrell,CIVIL,Yes,9.24,1,1,False,Low
100186,David Cole,EEE,No,6.66,4,0,False,Low
100187,Kimberly Andrews,MECH,No,7.62,6,0,True,Low
100188,Emily Williams,EEE,Yes,6.0,4,1,False,Low
100189,Mr. Christopher Reeves,MECH,No,7.25,6,0,False,Low
100190,Taylor Alvarado,FT,Yes,6.55,5,1,False,Low
100191,Javier Tran,CIVIL,No,7.52,1,0,True,Low
100192,Daniel Wilson,CIVIL,No,9.92,1,0,True,Low
100193,Latoya Smith,CSE,Yes,8.28,2,1,False,Low
100194,Matthew Mora,CSE,No,7.23,2,0,False,Low
100195,Holly Smith,AD,Yes,8.2,0,1,False,Low
100196,Debra Saunders,ECE,Yes,5.72,3,1,False,High
100197,Joanne Lopez,ECE,Yes,6.1,3,1,False,Low
100198,Jessica Adams,EEE,Yes,9.23,4,1,False,Low
100199,Wendy Landry,CSE,No,8.06,2,0,True,Low
100200,Craig Larson,CSE,No,6.22,2,0,False,Low
100201,Anthony Harvey,EEE,Yes,8.02,4,1,False,Low
100202,John Clark,FT,No,8.03,5,0,True,Low
100203,Samuel Ross,EEE,Yes,5.43,4,1,False,High
100204,Joshua Lynch,ECE,No,5.69,3,0,False,High
100205,Connie Newman,CSE,Yes,6.89,2,1,False,Low
100206,Bruce Sullivan,CIVIL,No,8.52,1,0,True,Low
100207,Colleen Smith,MECH,Yes,6.33,6,1,False,Low
100208,Christopher Rodriguez,FT,Yes,7.39,5,1,False,Low
100209,Briana Cannon,CSE,No,6.23,2,0,False,Low
100210,John Rodgers,AD,No,9.8,0,0,True,Low
100211,Laura Jones,MECH,Yes,7.34,6,1,False,Low
100212,James Taylor,EEE,No,9.27,4,0,True,Low
100213,Joseph Gill,ECE,No,6.15,3,0,False,Low
100214,Sarah Buchanan,MECH,No,9.24,6,0,True,Low
100215,Joseph Larson,CSE,Yes,8.28,2,1,False,Low
100216,Erin Little,CSE,No,9.14,2,0,True,Low
100217,Jennifer Grimes,EEE,No,8.37,4,0,True,Low
100218,Matthew Morgan,FT,Yes,6.97,5,1,False,Low
100219,Melissa Morrison,MECH,No,7.67,6,0,True,Low
100220,Patrick King,CIVIL,No,9.14,1,0,True,Low
100221,Zachary Garza,FT,Yes,7.13,5,1,False,Low
100222,Raymond Phillips,FT,No,5.43,5,0,False,High
100223,Monica May,FT,No,7.75,5,0,True,Low
100224,Harry Hanson,CSE,Yes,5.6,2,1,False,High
100225,Amy Huber,AD,Yes,5.69,0,1,False,High
100226,Kendra Christian,CIVIL,No,7.44,1,0,False,Low
100227,Jennifer Mcknight,AD,Yes,8.63,0,1,False,Low
100228,James Kennedy,AD,Yes,9.36,0,1,False,Low
100229,Andre Miller,FT,Yes,7.68,5,1,False,Low
100230,Mr. Joshua Hernandez,CSE,No,8.65,2,0,True,Low
100231,Ashley Martinez,MECH,Yes,7.22,6,1,False,Low
100232,Eric Silva,ECE,Yes,7.04,3,1,False,Low
100233,Melanie Wall,CSE,Yes,7.25,2,1,False,Low
100234,Jennifer Dunlap,FT,No,8.24,5,0,True,Low
100235,Alejandra Woodard,MECH,No,5.86,6,0,False,High
100236,Samantha Freeman,CIVIL,No,6.0,1,0,False,Low
100237,Mark Edwards,CIVIL,Yes,6.52,1,1,False,Low
100238,Maria Thomas,EEE,Yes,9.78,4,1,False,Low
100239,Lauren Robinson,CSE,Yes,9.07,2,1,False,Low
100240,Heather Baker,EEE,Yes,5.25,4,1,False,High
100241,David Lowery,CSE,No,7.87,2,0,True,Low
100242,Leslie Myers,MECH,No,8.75,6,0,True,Low
100243,Whitney Rivera,CSE,Yes,6.59,2,1,False,Low
100244,Matthew Kennedy,EEE,No,6.2,4,0,False,Low
100245,Christopher Gonzalez,AD,Yes,8.82,0,1,False,Low
100246,Brian Smith,MECH,No,5.71,6,0,False,High
100247,Morgan Hunter,ECE,Yes,6.21,3,1,False,Low
100248,Gregory Ray,ECE,Yes,7.61,3,1,False,Low
100249,Scott Beasley,AD,Yes,6.14,0,1,False,Low
100250,Jennifer Petty,ECE,No,9.58,3,0,True,Low
100251,John Padilla,FT,Yes,5.39,5,1,False,High
100252,Theresa Gilbert,CSE,Yes,7.81,2,1,False,Low
100253,Nathaniel Davis,EEE,No,5.74,4,0,False,High
100254,Michael Hubbard,EEE,No,7.43,4,0,False,Low
100255,Sean Morrow,FT,No,8.97,5,0,True,Low
100256,Derrick Coleman,CIVIL,Yes,8.0,1,1,False,Low
100257,Douglas Goodwin,EEE,No,9.27,4,0,True,Low
100258,Nancy Gonzalez,CIVIL,No,9.14,1,0,True,Low
100259,Tina Odom,CIVIL,Yes,6.75,1,1,False,Low
100260,Anna Taylor,MECH,No,9.56,6,0,True,Low
100261,Daniel Smith,CIVIL,No,5.24,1,0,False,High
100262,Zachary Mcdonald,AD,Yes,5.06,0,1,False,High
100263,Robert Rivera,AD,No,7.99,0,0,True,Low
100264,Todd Castro,ECE,No,5.63,3,0,False,High
100265,Peter Lopez,CIVIL,No,6.8,1,0,False,Low
100266,Matthew Mckay,CIVIL,No,8.52,1,0,True,Low
100267,Jeffrey Hunt,FT,Yes,5.13,5,1,False,High
100268,Eric Friedman,FT,No,7.72,5,0,True,Low
100269,Rebecca Johnson,EEE,No,6.35,4,0,False,Low
100270,Justin Bennett,AD,No,9.9,0,0,True,Low
100271,Denise Jones,CIVIL,No,6.8,1,0,False,Low
100272,William Robertson,MECH,No,7.64,6,0,True,Low
100273,Jonathan Collins,AD,No,6.37,0,0,False,Low
100274,Michael Quinn,AD,No,8.42,0,0,True,Low
100275,Lance Greene,FT,No,5.99,5,0,False,High
100276,Carlos Lane,AD,No,6.44,0,0,False,Low
100277,Pamela Singh,CSE,Yes,5.22,2,1,False,High
100278,Brandon Davis,ECE,No,8.68,3,0,True,Low
100279,Corey Moore,CSE,No,9.26,2,0,True,Low
100280,Laura Ward,ECE,No,5.74,3,0,False,High
100281,Paul Phillips,EEE,No,6.5,4,0,False,Low
100282,Linda Lopez,CSE,No,5.51,2,0,False,High
100283,Kimberly Ward,ECE,Yes,9.07,3,1,False,Low
100284,Arthur Baker,CIVIL,Yes,8.36,1,1,False,Low
100285,Bryan Nguyen,ECE,No,9.64,3,0,True,Low
100286,Elizabeth Martinez,FT,Yes,7.96,5,1,False,Low
100287,Haley Hinton,FT,No,6.11,5,0,False,Low
100288,Lisa Harrell,MECH,Yes,6.09,6,1,False,Low
100289,John Richardson,FT,No,9.8,5,0,True,Low
100290,Jason Williams,ECE,Yes,9.17,3,1,False,Low
100291,Christina Hayes,CSE,Yes,9.4,2,1,False,Low
100292,Juan Oliver,CIVIL,Yes,9.65,1,1,False,Low
100293,Brittany Miller,ECE,Yes,6.56,3,1,False,Low
100294,Matthew Mcgrath,ECE,No,5.43,3,0,False,High
100295,Carol Cain,FT,Yes,8.45,5,1,False,Low
100296,Jason Thomas,EEE,Yes,6.39,4,1,False,Low
100297,Jessica Schroeder,FT,No,6.12,5,0,False,Low
100298,Gina Arnold,EEE,No,9.28,4,0,True,Low
100299,Jordan Nelson,ECE,Yes,8.95,3,1,False,Low
100300,Robert Hammond,ECE,No,6.68,3,0,False,Low
100301,Misty Cervantes,CSE,Yes,8.09,2,1,False,Low
100302,Brenda Robles,EEE,No,5.07,4,0,False,High
100303,Stephen Walker DVM,MECH,No,8.63,6,0,True,Low
100304,Shane Kent,CIVIL,Yes,5.99,1,1,False,High
100305,Alan Ellis,FT,Yes,7.28,5,1,False,Low
100306,Jason Marquez,FT,Yes,5.9,5,1,False,High
100307,Nicholas Anderson,MECH,No,5.95,6,0,False,High
100308,Robyn Mcneil,EEE,No,7.19,4,0,False,Low
100309,James Johnson,AD,Yes,5.32,0,1,False,High
100310,Robyn Davenport,AD,Yes,9.01,0,1,False,Low
100311,Hannah Reyes,AD,No,7.25,0,0,False,Low
100312,Margaret Aguilar,ECE,No,7.51,3,0,True,Low
100313,Alisha Kennedy,MECH,No,9.36,6,0,True,Low
100314,Kyle Davis,CIVIL,Yes,7.31,1,1,False,Low
100315,Elizabeth Rodriguez,FT,Yes,9.26,5,1,False,Low
100316,Karen Carroll,CSE,No,8.59,2,0,True,Low
100317,David Schmidt,CSE,No,7.19,2,0,False,Low
100318,Sierra Taylor,ECE,No,9.22,3,0,True,Low
100319,Eduardo Perry,FT,Yes,5.7,5,1,False,High
100320,Samantha Vasquez,EEE,Yes,8.93,4,1,False,Low
100321,James Smith,CSE,No,8.45,2,0,True,Low
100322,Nicholas Haley,FT,No,8.6,5,0,True,Low
100323,Marcus Jones,FT,Yes,7.89,5,1,False,Low
100324,Amanda Bruce,EEE,Yes,8.94,4,1,False,Low
100325,Walter Rosales,FT,Yes,8.34,5,1,False,Low
100326,Kimberly Taylor,ECE,No,8.06,3,0,True,Low
100327,Claudia Booker,MECH,No,7.21,6,0,False,Low
100328,Gregory Browning,EEE,Yes,9.96,4,1,False,Low
100329,Yolanda Fernandez,CSE,No,9.79,2,0,True,Low
100330,Vincent Rivera,FT,No,8.24,5,0,True,Low
100331,Mary Evans MD,EEE,No,8.97,4,0,True,Low
100332,Sheila Patterson,CIVIL,Yes,6.27,1,1,False,Low
100333,Jackson Garcia DDS,AD,No,9.21,0,0,True,Low
100334,Gabrielle Roberts,MECH,No,5.18,6,0,False,High
100335,Ashley Hodge,CIVIL,No,7.62,1,0,True,Low
100336,Nicole Wu,AD,No,5.14,0,0,False,High
100337,Sharon Gallegos,AD,Yes,8.04,0,1,False,Low
100338,James Gibbs,EEE,Yes,7.42,4,1,False,Low
100339,Sharon Webb,ECE,No,6.99,3,0,False,Low
100340,Melissa Ortiz,CIVIL,No,9.36,1,0,True,Low
100341,David Peterson,AD,No,7.16,0,0,False,Low
100342,Jennifer Merritt,FT,Yes,6.99,5,1,False,Low
100343,Mark Jensen,EEE,No,5.42,4,0,False,High
100344,Steve Edwards,FT,Yes,7.37,5,1,False,Low
100345,Jason Allen,CSE,Yes,8.48,2,1,False,Low
100346,Erin Bennett,FT,No,9.55,5,0,True,Low
100347,Lacey Riley,CSE,No,8.17,2,0,True,Low
100348,Marcus Rice,AD,Yes,7.54,0,1,False,Low
100349,Mark Martinez,CIVIL,Yes,9.99,1,1,False,Low
100350,Clarence Martinez,ECE,Yes,9.15,3,1,False,Low
100351,Jason Castillo,CSE,Yes,9.62,2,1,False,Low
100352,Carolyn Guzman,AD,Yes,7.0,0,1,False,Low
100353,Jesus Robinson,ECE,Yes,7.48,3,1,False,Low
100354,Heather Ellison,MECH,Yes,6.04,6,1,False,Low
100355,Deborah Farley,MECH,Yes,7.78,6,1,False,Low
100356,Raymond Diaz,CIVIL,No,9.52,1,0,True,Low
100357,Colleen Middleton,AD,No,9.88,0,0,True,Low
100358,Vanessa Reynolds,ECE,No,5.51,3,0,False,High
100359,Sarah King,AD,Yes,8.34,0,1,False,Low
100360,Rebecca Walsh,ECE,Yes,8.97,3,1,False,Low
100361,Jennifer Patton,EEE,Yes,5.57,4,1,False,High
100362,Kevin Lee,AD,No,5.61,0,0,False,High
100363,Deborah Thomas,ECE,Yes,8.0,3,1,False,Low
100364,Linda Jones,ECE,Yes,9.58,3,1,False,Low
100365,Amy Delgado,FT,No,6.63,5,0,False,Low
100366,Steven Moore,MECH,Yes,6.8,6,1,False,Low
100367,Linda Lindsey,ECE,Yes,6.68,3,1,False,Low
100368,Tammy Melendez,CIVIL,No,7.05,1,0,False,Low
100369,Tammy Martinez,CSE,Yes,8.49,2,1,False,Low
100370,Anthony Henry DVM,CSE,Yes,7.85,2,1,False,Low
100371,Christopher Reyes,EEE,Yes,9.5,4,1,False,Low
100372,Kevin Banks,FT,No,9.34,5,0,True,Low
100373,Robert Compton,CIVIL,Yes,5.57,1,1,False,High
100374,Kenneth Barnes,ECE,Yes,5.59,3,1,False,High
100375,Elizabeth Hayden,ECE,No,7.59,3,0,True,Low
100376,Tonya Acosta,CSE,Yes,9.36,2,1,False,Low
100377,Jordan James,CSE,Yes,6.54,2,1,False,Low
100378,Rebecca Moore,EEE,Yes,7.41,4,1,False,Low
100379,Philip Jordan,CIVIL,Yes,8.67,1,1,False,Low
100380,Erin Zimmerman,EEE,No,9.25,4,0,True,Low
100381,Kenneth Hubbard,CIVIL,No,8.69,1,0,True,Low
100382,Kevin Wilson,FT,Yes,6.12,5,1,False,Low
100383,Edwin Jones,CIVIL,Yes,7.85,1,1,False,Low
100384,Craig Murphy,FT,Yes,9.47,5,1,False,Low
100385,Chad Gibson,ECE,No,6.86,3,0,False,Low
100386,Christine Thornton,EEE,Yes,5.96,4,1,False,High
100387,Melissa Zhang,FT,No,8.05,5,0,True,Low
100388,Michael Knapp,AD,No,9.69,0,0,True,Low
100389,Thomas Serrano,FT,Yes,7.03,5,1,False,Low
100390,Donna Smith,FT,Yes,9.92,5,1,False,Low
100391,Karen Simmons,CIVIL,Yes,9.36,1,1,False,Low
100392,Brian Bates,CIVIL,Yes,5.72,1,1,False,High
100393,Penny Lopez,EEE,Yes,6.1,4,1,False,Low
100394,Kathryn Hudson,ECE,Yes,8.17,3,1,False,Low
100395,Anthony Rowe,CSE,Yes,6.76,2,1,False,Low
100396,Margaret Williams,CIVIL,Yes,7.34,1,1,False,Low
100397,Ashley Mendez,ECE,Yes,8.62,3,1,False,Low
100398,Keith Rivera,ECE,No,8.48,3,0,True,Low
100399,Scott Hurst,CSE,Yes,8.48,2,1,False,Low
100400,Danielle Novak DDS,EEE,Yes,6.48,4,1,False,Low
100401,Diana Morgan,MECH,Yes,7.4,6,1,False,Low
100402,Andrew Morgan,EEE,No,6.61,4,0,False,Low
100403,Mrs. Lauren Mcclain MD,CIVIL,No,8.67,1,0,True,Low
100404,William Warren,MECH,Yes,8.96,6,1,False,Low
100405,Michelle Jones,MECH,Yes,8.13,6,1,False,Low
100406,Nicholas Davis,CSE,No,6.18,2,0,False,Low
100407,Roy James,FT,Yes,9.21,5,1,False,Low
100408,Colin Peterson,ECE,Yes,5.06,3,1,False,High
100409,Kimberly Huff,FT,Yes,5.06,5,1,False,High
100410,Jennifer Henderson,CSE,No,8.62,2,0,True,Low
100411,Mrs. Sara Miller,ECE,Yes,6.74,3,1,False,Low
100412,Justin Becker,EEE,Yes,7.17,4,1,False,Low
100413,Rebecca Ryan,ECE,No,5.48,3,0,False,High
100414,Donald Martinez,FT,No,8.03,5,0,True,Low
100415,Michael Thompson,AD,No,9.99,0,0,True,Low
100416,Sara Tran,EEE,No,9.15,4,0,True,Low
100417,Susan Wood PhD,EEE,Yes,9.66,4,1,False,Low
100418,Kenneth Sims,EEE,Yes,6.51,4,1,False,Low
100419,Kurt Medina,AD,Yes,6.32,0,1,False,Low
100420,Rebecca Brown,CIVIL,Yes,9.63,1,1,False,Low
100421,Martin Clark,EEE,Yes,8.53,4,1,False,Low
100422,Stephanie Wagner,EEE,No,9.01,4,0,True,Low
100423,Madeline Mckee,AD,Yes,9.26,0,1,False,Low
100424,Elizabeth Hendricks,FT,No,8.62,5,0,True,Low
100425,Jesus Robinson,MECH,No,8.09,6,0,True,Low
100426,Amy Flores,FT,Yes,9.94,5,1,False,Low
100427,Christopher Acosta,MECH,Yes,7.34,6,1,False,Low
100428,Jaime Armstrong,AD,No,9.48,0,0,True,Low
100429,James Morales,AD,Yes,7.98,0,1,False,Low
100430,Clayton Ryan,MECH,No,9.53,6,0,True,Low
100431,Patricia Petty,EEE,Yes,9.99,4,1,False,Low
100432,Mr. Jared Bennett MD,ECE,No,9.31,3,0,True,Low
100433,Hannah Perez,MECH,Yes,7.11,6,1,False,Low
100434,Danielle Thomas,FT,Yes,6.11,5,1,False,Low
100435,Emily Lee,CIVIL,Yes,8.46,1,1,False,Low
100436,Lori Smith,AD,No,9.49,0,0,True,Low
100437,Walter Sandoval,FT,Yes,6.22,5,1,False,Low
100438,Susan Fuentes,AD,No,8.77,0,0,True,Low
100439,Katherine Austin,MECH,Yes,6.8,6,1,False,Low
100440,Michael Carroll,AD,No,7.41,0,0,False,Low
100441,Brooke Lewis,FT,Yes,9.2,5,1,False,Low
100442,Kyle Williams,AD,No,9.83,0,0,True,Low
100443,Tyler Mcgrath,AD,No,7.59,0,0,True,Low
